DEBUG 2024-11-25 03:43:42,077 autoreload File C:\Python312\Lib\urllib\error.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,077 autoreload File C:\Python312\Lib\bisect.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,077 autoreload File C:\Python312\Lib\site-packages\django\contrib\admin\__init__.py first seen with mtime 1727866485.725576
DEBUG 2024-11-25 03:43:42,077 autoreload File C:\Python312\Lib\site-packages\asgiref\__init__.py first seen with mtime 1727866485.2438035
DEBUG 2024-11-25 03:43:42,078 autoreload File C:\Python312\Lib\site-packages\django\contrib\staticfiles\__init__.py first seen with mtime 1727866487.8078246
DEBUG 2024-11-25 03:43:42,078 autoreload File C:\Python312\Lib\site-packages\django\utils\translation\reloader.py first seen with mtime 1727866488.1525369
DEBUG 2024-11-25 03:43:42,078 autoreload File C:\Python312\Lib\site-packages\django\core\handlers\asgi.py first seen with mtime 1727866487.8517156
DEBUG 2024-11-25 03:43:42,078 autoreload File C:\Python312\Lib\site-packages\rest_framework\schemas\__init__.py first seen with mtime 1727866912.3568735
DEBUG 2024-11-25 03:43:42,079 autoreload File C:\Python312\Lib\sysconfig.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,079 autoreload File C:\Python312\Lib\site-packages\django\core\handlers\exception.py first seen with mtime 1727866487.8527224
DEBUG 2024-11-25 03:43:42,079 autoreload File C:\Python312\Lib\locale.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,079 autoreload File C:\Python312\Lib\site-packages\django\contrib\postgres\lookups.py first seen with mtime 1727866487.2202802
DEBUG 2024-11-25 03:43:42,080 autoreload File C:\Python312\Lib\secrets.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,080 autoreload File C:\Python312\Lib\site-packages\django\contrib\auth\apps.py first seen with mtime 1727866486.3347921
DEBUG 2024-11-25 03:43:42,080 autoreload File C:\Python312\Lib\site-packages\django\http\__init__.py first seen with mtime 1727866488.0810528
DEBUG 2024-11-25 03:43:42,080 autoreload File C:\Python312\Lib\site-packages\django\contrib\auth\password_validation.py first seen with mtime 1727866486.3473022
DEBUG 2024-11-25 03:43:42,080 autoreload File C:\Python312\Lib\subprocess.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,081 autoreload File C:\Python312\Lib\site-packages\django\shortcuts.py first seen with mtime 1727866485.463404
DEBUG 2024-11-25 03:43:42,081 autoreload File C:\Python312\Lib\email\parser.py first seen with mtime 1707282618.0
